Year,Month,Day,AverageDailyPrecipitation[mm/d],AverageDailyStreamflow[m^3/s],AverageDailyTemperature[°C]
1990,2,11,6.8884,11.84376365,-0.463821
1990,2,12,9.5296,13.0804021,-0.786546
1990,2,13,64.6636,26.07072849,1.24543
1990,2,14,79.0738,126.739823,5.35212
1990,2,15,20.6725,265.5200315,4.47841
1990,2,16,8.95855,295.2166198,2.13603
1990,2,17,0.148435,237.6419957,5.24255
1990,2,18,0,196.7228594,7.01968
1990,2,19,0,173.4042677,7.57216
1990,2,20,0,149.8448683,6.95505
1990,2,21,0.00841707,125.242726,6.44583
1990,2,22,0,102.2613787,7.64652
1990,2,23,0,81.8441791,7.16415
1990,2,24,0,65.56114807,7.67861
1990,2,25,0.0925488,51.98777169,8.71411
1990,2,26,16.8767,45.40372546,6.60066
1990,2,27,26.7353,58.78309261,3.61062
1990,2,28,44.1289,93.84537647,2.84281
1990,3,1,8.67671,149.8130635,0.811801
1990,3,2,5.09527,148.3670814,-2.19872
1990,3,3,0.00205938,120.0369632,-3.49097
1990,3,4,0,94.95990724,-1.90984
1990,3,5,0,75.50162211,-0.225886
1990,3,6,0,59.74314296,2.48471
1990,3,7,0,50.18398565,3.82574
1990,3,8,0.00226889,44.01465119,6.89674
1990,3,9,0.0711045,36.29165265,6.33744
1990,3,10,0.173008,29.18759808,5.62176
1990,3,11,0.00367767,23.33040493,8.12762
1990,3,12,0,19.02301384,8.43199
1990,3,13,0.893523,15.52460034,8.56273
1990,3,14,3.92407,12.91944714,7.28395
1990,3,15,2.23E-07,13.10073445,6.81785
1990,3,16,0,12.27869418,7.52931
1990,3,17,0,9.353153133,6.93043
1990,3,18,0,7.287715886,6.83041
1990,3,19,0,6.267997471,6.59721
1990,3,20,1.01208,5.753180123,6.69462
1990,3,21,0,5.43966439,11.7182
1990,3,22,5.78475,5.351519681,11.9715
1990,3,23,0.0518067,6.612113958,6.6938
1990,3,24,2.64392,8.813641637,5.81024
1990,3,25,2.92589,8.364364878,1.53247
1990,3,26,2.79936,8.755836428,-0.04548
1990,3,27,3.8564,8.719011023,0.0842867
1990,3,28,4.49838,7.436585029,-0.522958
1990,3,29,0.00810183,6.314068983,0.865156
1990,3,30,0.0403921,6.183782926,4.87921
1990,3,31,0,10.03647908,7.15761
1990,4,1,0,13.6950297,8.00507
1990,4,2,0.000219443,11.54979651,8.05286
1990,4,3,8.91914,9.157042516,4.47508
1990,4,4,0.0139566,10.86885592,1.94898
1990,4,5,4.82423,14.23003173,3.25543
1990,4,6,13.7709,15.86139037,3.5687
1990,4,7,3.7913,24.50172997,6.04176
1990,4,8,1.11466,30.41628533,2.50185
1990,4,9,0.0191184,27.34360169,2.28155
1990,4,10,0.210835,21.58011909,2.92754
1990,4,11,5.88607,16.7373852,2.69565
1990,4,12,1.87611,15.91727593,3.2179
1990,4,13,4.03553,16.40320771,6.88527
1990,4,14,7.32578,16.91492409,2.87226
1990,4,15,11.7409,23.0154239,2.48612
1990,4,16,3.38021,29.91513269,2.42714
1990,4,17,5.17708,32.24915004,2.24311
1990,4,18,3.33805,31.77684889,2.14202
1990,4,19,0.104539,29.64558708,2.44937
1990,4,20,5.38E-05,25.33933188,3.76278
1990,4,21,4.38017,19.95773395,5.24269
1990,4,22,15.7377,25.63261749,4.29803
1990,4,23,11.2565,41.28625442,3.67079
1990,4,24,5.91439,51.19003936,5.41769
1990,4,25,1.62848,50.35947995,6.74776
1990,4,26,1.06073,45.80605608,6.55781
1990,4,27,0.693284,38.08010424,6.44864
1990,4,28,0,30.65300385,8.90002
1990,4,29,0,23.41150715,10.0383
1990,4,30,0,17.40801195,11.6768
1990,5,1,0,12.81131085,13.8786
1990,5,2,0.0145221,9.366579299,14.2071
1990,5,3,0.388479,7.022463923,14.3743
1990,5,4,0.0482901,5.769162031,13.0922
1990,5,5,0.429242,5.240180193,12.9327
1990,5,6,3.04823,5.299575641,12.0485
1990,5,7,4.61784,6.776340271,11.2957
1990,5,8,2.63748,8.518731706,11.5069
1990,5,9,6.79131,10.31953037,12.282
1990,5,10,3.62463,12.88400752,11.3939
1990,5,11,0.155431,15.49347708,10.9944
1990,5,12,1.113,13.59030107,10.0421
1990,5,13,6.06034,13.04666631,11.7568
1990,5,14,1.08078,14.3205618,12.0203
1990,5,15,4.14133,13.82781471,13.7817
1990,5,16,0.0222869,14.04681342,14.6188
1990,5,17,1.77749,12.27699035,14.5478
1990,5,18,1.71559,10.49633093,13.9729
1990,5,19,9.28206,11.19318528,12.5461
1990,5,20,10.1024,14.73084361,13.2641
1990,5,21,2.87812,19.24314843,12.886
1990,5,22,4.49144,22.44725402,12.6105
1990,5,23,6.9144,21.4749361,14.2349
1990,5,24,4.29515,21.06635811,12.4385
1990,5,25,0.0396845,20.94538632,10.9142
1990,5,26,0,18.21403624,10.2397
1990,5,27,0,13.71854253,10.4537
1990,5,28,0,10.09052451,10.0514
1990,5,29,0,7.549264862,9.1961
1990,5,30,0.00826012,6.049396322,9.91704
1990,5,31,0,5.275801559,11.8531
1990,6,1,10.0388,5.331494021,14.461
1990,6,2,13.1453,8.791151106,10.9966
1990,6,3,11.5501,17.36303089,11.2831
1990,6,4,4.20515,24.15835181,10.434
1990,6,5,16.5602,27.71980694,10.115
1990,6,6,1.33669,32.29765235,10.084
1990,6,7,31.1479,48.0422737,10.8784
1990,6,8,20.7374,64.59223781,9.03376
1990,6,9,17.4938,85.22741382,6.34207
1990,6,10,2.21211,93.5417543,7.39304
1990,6,11,1.12591,84.76340463,10.7392
1990,6,12,14.0128,74.51783176,10.152
1990,6,13,5.86791,68.47151368,10.1133
1990,6,14,3.15179,62.10896511,10.7589
1990,6,15,0.0388108,53.3259583,11.3043
1990,6,16,0,42.33853867,12.2689
1990,6,17,3.75079,32.19542266,14.4115
1990,6,18,5.47127,26.5147461,13.5965
1990,6,19,11.1598,25.7713091,15.6168
1990,6,20,12.3445,30.39731605,12.2613
1990,6,21,5.20859,38.0071804,12.8425
1990,6,22,6.54813,38.8150221,10.9677
1990,6,23,0.727481,36.50758447,12.0077
1990,6,24,0.0140417,31.97347065,15.0377
1990,6,25,0,24.89247455,16.7221
1990,6,26,0.00439549,18.74767521,19.4934
1990,6,27,34.7422,35.38237638,17.7859
1990,6,28,0.323542,55.84580651,16.3458
1990,6,29,12.3789,58.07884365,17.3594
1990,6,30,25.9194,66.79642346,17.6183
1990,7,1,0.0319114,73.23348611,12.2205
1990,7,2,1.61477,70.87357057,12.7578
1990,7,3,24.9039,68.77831633,10.7722
1990,7,4,0.597761,70.97216543,11.8413
1990,7,5,19.7904,71.43276696,12.7261
1990,7,6,0.365513,70.80814357,9.65577
1990,7,7,2.32439,66.06593555,10.2069
1990,7,8,0.143775,55.95235256,15.3566
1990,7,9,0.13643,43.4821481,17.2175
1990,7,10,0.0362433,32.42930147,11.3749
1990,7,11,0.00698893,24.0483981,12.7487
1990,7,12,0.00698893,17.61712846,16.0147
1990,7,13,0.00698893,12.80142865,18.0785
1990,7,14,0.660841,9.333979388,18.9805
1990,7,15,0.0733481,7.199525742,19.2669
1990,7,16,0.0489901,6.30468657,18.5557
1990,7,17,0.00698893,5.887282756,18.036
1990,7,18,0.0388591,5.519971489,15.8771
1990,7,19,0.0174367,5.282662307,16.0985
1990,7,20,0.0069176,5.119833133,18.1005
1990,7,21,0.00698893,4.981879849,20.5692
1990,7,22,0.00698893,4.867155422,21.2018
1990,7,23,0.00698893,4.820322866,19.0986
1990,7,24,0.0139779,4.827853786,17.3757
1990,7,25,0.00698893,4.818550885,16.0232
1990,7,26,0.0822509,4.757996833,17.7383
1990,7,27,0.16044,4.67753071,19.5287
1990,7,28,7.46389,4.930003962,21.0447
1990,7,29,1.05375,5.880478802,18.3482
1990,7,30,2.93333,6.493345779,18.1232
1990,7,31,0.0382812,5.889270555,18.7324
1990,8,1,0.0123034,5.566610944,19.6308
1990,8,2,0,5.260376235,21.8251
1990,8,3,0.019665,4.779271967,21.61
1990,8,4,0.00655502,4.545779361,21.0097
1990,8,5,0.379687,4.458236672,20.5948
1990,8,6,0.0131166,4.417969534,16.7319
1990,8,7,0.01311,4.454726786,12.0928
1990,8,8,0.01311,4.465903898,13.2821
1990,8,9,0.01311,4.392991414,14.8479
1990,8,10,0.00655502,4.29756568,16.5643
1990,8,11,0.00655502,4.233694843,18.4603
1990,8,12,0.0175732,4.205354502,19.5819
1990,8,13,0.272091,4.172175289,19.5036
1990,8,14,15.6575,5.633491877,16.2758
1990,8,15,0.300704,7.682367915,16.5129
1990,8,16,5.37849,7.750430169,16.6381
1990,8,17,0.135849,6.779588904,12.3293
1990,8,18,0,5.615885653,13.1005
1990,8,19,0,4.755781857,16.2206
1990,8,20,0.00655502,4.356109214,18.6772
1990,8,21,0.0468279,4.208398674,12.6505
1990,8,22,0.00655502,4.180580841,12.1726
1990,8,23,0.00655502,4.140586315,16.7232
1990,8,24,0.00655502,4.053157215,19.2882
1990,8,25,10.1935,4.298088187,16.4327
1990,8,26,8.42392,5.831204093,15.1932
1990,8,27,5.3453,7.134734838,16.2804
1990,8,28,2.85006,7.838836131,16.8132
1990,8,29,2.91072,7.442468915,17.8866
1990,8,30,22.1272,8.321133079,16.7058
1990,8,31,2.28721,11.8760228,8.98654
1990,9,1,0.0702156,12.60685147,9.35869
1990,9,2,0.066185,9.731084929,12.3729
1990,9,3,0.0129403,6.913805124,13.9936
1990,9,4,3.25904,5.389753584,14.0674
1990,9,5,0.0278292,4.826751978,11.8145
1990,9,6,3.58024,4.681869793,11.6878
1990,9,7,8.77216,5.152989628,9.23484
1990,9,8,0.221161,6.053201539,9.75881
1990,9,9,0.0524337,5.971383712,11.2337
1990,9,10,0.0254215,5.022237858,10.9525
1990,9,11,0.0422473,4.393968275,10.0844
1990,9,12,0,4.171096197,11.3478
1990,9,13,0.00647013,4.074932138,12.6073
1990,9,14,30.725,9.112016018,14.397
1990,9,15,0.921932,20.36926523,13.8143
1990,9,16,0.0741389,19.97488582,12.0679
1990,9,17,0,14.48163035,12.182
1990,9,18,0.0213532,9.994121915,10.8661
1990,9,19,0.0403045,7.008878734,12.9132
1990,9,20,0.115013,5.348441432,12.3432
1990,9,21,11.2164,5.143902545,10.5718
1990,9,22,36.9544,26.54291606,13.0318
1990,9,23,28.7835,53.0117724,11.4393
1990,9,24,0.037353,59.23290323,7.71915
1990,9,25,0.0986524,56.11149011,7.76892
1990,9,26,0.0318916,43.10117214,9.08893
1990,9,27,0.0508429,30.69366855,8.31271
1990,9,28,0.0252388,22.0419701,7.95707
1990,9,29,0.348197,15.84412491,13.2602
1990,9,30,20.6241,21.17619823,15.2333
1990,10,1,21.569,35.82889293,13.2899
1990,10,2,0.231742,46.46168914,12.8327
1990,10,3,11.3639,44.27056617,13.714
1990,10,4,3.67115,40.08210229,8.49861
1990,10,5,0.0599811,36.98181663,6.54772
1990,10,6,0.0364202,29.35764013,9.96974
1990,10,7,0.176389,22.06605087,10.4442
1990,10,8,0.00913878,16.41365786,5.9785
1990,10,9,0.036696,11.95269506,6.8202
1990,10,10,0.0777339,8.455417453,8.20205
1990,10,11,0.00559513,6.141959625,10.6804
1990,10,12,0.160759,4.970520995,12.2994
1990,10,13,0.0187959,4.572165979,14.2325
1990,10,14,0.0257604,4.42554589,13.578
1990,10,15,1.30959,4.342978379,13.895
1990,10,16,3.77816,4.421911056,12.8358
1990,10,17,1.16066,4.903980827,13.2915
1990,10,18,3.97409,5.679268059,10.0307
1990,10,19,5.3162,6.674065148,11.0374
1990,10,20,0.448683,8.500591616,9.21625
1990,10,21,0.0456682,8.973108591,9.79366
1990,10,22,0.0246116,7.059107587,7.80954
1990,10,23,0.277473,5.320793981,7.08755
1990,10,24,0.904808,4.49592535,8.87646
1990,10,25,4.47461,4.52576506,6.75824
1990,10,26,7.97146,6.271200668,5.28735
1990,10,27,1.14115,10.24288082,5.03968
1990,10,28,29.8598,30.86575519,6.78611
1990,10,29,29.7147,68.6209962,6.86571
1990,10,30,6.00321,85.03760736,6.49335
1990,10,31,12.9522,95.05191396,6.6564
1990,11,1,18.1311,93.22041232,4.85785
1990,11,2,14.2132,98.31690301,3.45236
1990,11,3,5.56848,101.9985348,1.61171
1990,11,4,7.12821,95.96153101,1.12651
1990,11,5,2.47574,84.92629059,0.883229
1990,11,6,0.023195,74.34710818,-0.738332
1990,11,7,0.00901448,59.21961338,-1.29264
1990,11,8,0,43.92287165,-0.186367
1990,11,9,3.61669,32.90353363,2.26479
1990,11,10,3.86163,28.19494781,5.48843
1990,11,11,10.3419,32.73269646,6.40548
1990,11,12,0.0124267,40.58870718,4.90314
1990,11,13,3.16113,38.37600239,4.18006
1990,11,14,15.8247,37.60723514,6.64665
1990,11,15,9.32806,49.45838205,4.41276
1990,11,16,0.971624,57.12890268,3.68039
1990,11,17,3.81377,52.92862558,7.5866
1990,11,18,2.60953,46.88298904,6.69982
1990,11,19,5.55833,42.42656979,4.43522
1990,11,20,21.3079,48.18653115,7.06923
1990,11,21,18.5225,63.26018498,2.66506
1990,11,22,13.7996,73.36343141,1.03338
1990,11,23,1.53823,83.55311871,-0.868158
1990,11,24,2.15834,74.30928319,-0.251342
1990,11,25,3.29431,56.39398481,0.991936
1990,11,26,0.00997647,42.3897671,1.20624
1990,11,27,0.236816,34.93483752,-1.31477
1990,11,28,0.0229415,27.79704715,-0.308495
1990,11,29,0.115917,20.76852896,-0.699727
1990,11,30,0.211562,15.31048594,-1.50989
1990,12,1,0.00200211,11.084163,-5.42849
1990,12,2,0.00335134,7.925651854,-3.16846
1990,12,3,1.68E-05,5.927118257,-1.27873
1990,12,4,0.591704,5.054587874,-1.74911
1990,12,5,0.129471,4.816551727,-2.13184
1990,12,6,0,4.710823512,-4.90349
1990,12,7,0.000309089,4.620725081,-4.65123
1990,12,8,1.74708,4.55312854,-2.13728
1990,12,9,12.4434,4.503274529,-2.18157
1990,12,10,12.637,4.457725523,-4.0867
1990,12,11,0.720351,4.412812614,-5.06566
1990,12,12,21.9674,4.367445351,-3.50315
1990,12,13,8.84949,4.324156757,-3.20341
1990,12,14,0.197547,4.280777293,-3.7559
1990,12,15,0.015738,4.226232076,-4.2525
1990,12,16,0.0235356,4.177139108,-5.00451
1990,12,17,0.0298217,4.145209369,-5.83115
1990,12,18,0.294115,4.122752914,-5.56228
1990,12,19,1.49548,4.099149215,-3.32357
1990,12,20,0.795032,4.068309926,-5.83883
1990,12,21,7.19288,4.03099609,-2.40484
1990,12,22,0.408251,4.120867344,0.90219
1990,12,23,0.0108629,5.265714897,1.12792
1990,12,24,0.000760945,6.908614128,-1.10113
1990,12,25,8.08891,6.440958743,0.271135
1990,12,26,10.6836,5.68153983,0.983633
1990,12,27,5.37707,7.555875715,1.98904
1990,12,28,2.25524,11.4358672,-0.777334
1990,12,29,2.5235,19.61640038,5.30042
1990,12,30,4.97225,54.50637043,6.98115
1990,12,31,14.2552,94.70217484,4.81999
1991,1,1,5.73554,130.5291368,0.971881
1991,1,2,14.8437,131.9762548,2.06907
1991,1,3,0.0179016,115.0742798,5.45882
1991,1,4,5.19433,112.2488784,3.27273
1991,1,5,9.71335,112.550456,0.441802
1991,1,6,11.2738,104.2923418,2.31355
1991,1,7,7.90643,96.91646988,4.40476
1991,1,8,0.234789,96.99132472,2.24397
1991,1,9,0.353201,93.95373994,5.03046
1991,1,10,0.44574,86.15088866,9.85063
1991,1,11,11.539,85.26251268,7.71543
1991,1,12,3.05755,94.81599056,0.903107
1991,1,13,1.37031,96.34375645,-0.938141
1991,1,14,0.0274021,79.98700645,-1.2105
1991,1,15,0,63.67523751,-1.71228
1991,1,16,0.000399924,49.74439799,-2.21817
1991,1,17,0,37.35620446,-1.96815
1991,1,18,0,27.58690835,-2.92554
1991,1,19,1.89255,20.09335867,-2.12728
1991,1,20,0.0121354,14.58817641,-0.936872
1991,1,21,2.00478,10.78241504,-2.8113
1991,1,22,0.0504271,8.188223127,-2.51034
1991,1,23,0,6.378939399,-5.38788
1991,1,24,0,5.260467106,-6.64853
1991,1,25,0,4.704348965,-4.67617
1991,1,26,0.00244642,4.461110462,-4.92916
1991,1,27,0,4.360277914,-5.70675
1991,1,28,0.00244642,4.291727229,-4.6012
1991,1,29,0,4.232172756,-4.35001
1991,1,30,0,4.183386478,-4.53978
1991,1,31,0,4.139575377,-5.95468
1991,2,1,0,4.100557713,-4.70088
1991,2,2,0,4.064913629,-3.49302
1991,2,3,0,4.026316242,-3.70843
1991,2,4,0,3.989070559,-4.54613
1991,2,5,0.0301668,3.950098331,-8.09209
1991,2,6,0.355108,3.907945623,-11.6464
1991,2,7,4.69632,3.876595185,-11.5248
1991,2,8,3.24541,3.847743696,-6.75342
1991,2,9,6.1629,3.80745384,-2.2784
1991,2,10,6.23832,3.777886743,-3.87729
1991,2,11,4.10164,3.748955741,-7.33677
1991,2,12,4.5703,3.713845523,-7.28881
1991,2,13,0.608455,3.689105939,-8.57923
1991,2,14,1.80496,3.66708112,-10.4288
1991,2,15,7.92545,3.647964169,-6.49535
1991,2,16,1.23018,3.621475321,-0.560958
1991,2,17,0.0946305,3.597576292,-2.43663
1991,2,18,0.0648989,3.581787484,2.10998
1991,2,19,2.62E-05,3.665899799,1.04502
1991,2,20,4.96E-05,4.069752501,0.787907
1991,2,21,2.8054,4.431804618,0.19748
1991,2,22,0.0375392,4.382393603,1.34974
1991,2,23,0.00158726,5.04431947,2.60583
1991,2,24,0,17.65495344,5.46245
1991,2,25,0,51.12290854,5.52467
1991,2,26,0,65.52752586,5.88552
1991,2,27,0.567598,69.40975504,5.32966
1991,2,28,0.0346591,65.18437488,4.2992
1991,3,1,0.0125241,56.23257549,3.72667
1991,3,2,6.18793,46.21463406,4.71628
1991,3,3,0.0721573,40.90800457,4.52221
1991,3,4,0.00278393,35.94350377,5.31564
1991,3,5,0.00706879,29.04720264,6.61969
1991,3,6,5.40E-05,23.36016513,8.10276
1991,3,7,6.01E-06,18.71814219,9.09501
1991,3,8,4.12745,15.65681741,7.33336
1991,3,9,9.76179,17.41596315,4.21072
1991,3,10,3.6688,26.74419496,4.71167
1991,3,11,0.710083,31.23809843,5.63106
1991,3,12,0.00299001,27.66403497,5.66516
1991,3,13,3.67E-05,21.89998442,5.68752
1991,3,14,0,16.56586651,6.07395
1991,3,15,0,12.16930841,6.46533
1991,3,16,0.000192365,9.021429156,6.34838
1991,3,17,4.89375,7.414594287,5.3493
1991,3,18,1.6152,7.753758314,5.77625
1991,3,19,16.0696,13.9032375,4.82063
1991,3,20,0.160834,27.39926008,9.75283
1991,3,21,25.8091,45.67224878,9.9552
1991,3,22,3.98862,58.29307164,3.51174
1991,3,23,0.937757,62.1160076,3.53907
1991,3,24,0.0288019,60.73420299,5.84244
1991,3,25,0.933693,49.72327053,5.58054
1991,3,26,18.4474,44.533978,5.12065
1991,3,27,1.63541,53.10287041,3.97402
1991,3,28,0.00328847,50.88357748,1.86565
1991,3,29,0,43.48964495,-0.553947
1991,3,30,0,34.78172017,1.14301
1991,3,31,0,26.14251645,3.78294
1991,4,1,0.00971849,19.07526457,5.92088
1991,4,2,0,13.65527371,7.19066
1991,4,3,2.68851,9.835654541,7.34684
1991,4,4,2.77179,8.090582416,5.71934
1991,4,5,2.93348,8.435812071,3.04882
1991,4,6,0.0549181,9.672098399,3.83875
1991,4,7,0.566907,9.27526547,5.48747
1991,4,8,0.0279829,7.173434454,6.05369
1991,4,9,0.0145565,5.840188946,6.23292
1991,4,10,0,4.961343041,9.07626
1991,4,11,0.00971849,4.371409591,10.0156
1991,4,12,0.808801,4.072489984,8.70144
1991,4,13,2.96005,4.006199711,8.25347
1991,4,14,1.21158,4.471753708,7.24376
1991,4,15,0,5.324576479,9.23506
1991,4,16,0.0797897,4.91386303,9.63596
1991,4,17,0.453348,4.143619129,0.439022
1991,4,18,2.78735,3.889430691,-0.253462
1991,4,19,5.92448,3.841621273,-0.135906
1991,4,20,5.59686,3.818733182,-1.2941
1991,4,21,0.0655306,3.795368019,-1.39849
1991,4,22,4.88845,3.755066805,-0.44087
1991,4,23,1.93504,3.720229199,-0.0477194
1991,4,24,0.0752187,3.774922082,0.656138
1991,4,25,0.0681289,4.856909735,3.52574
1991,4,26,8.23E-05,11.31980243,5.73977
1991,4,27,6.5616,21.40121714,5.83074
1991,4,28,4.87385,27.3782462,5.11576
1991,4,29,0.581496,27.66335344,5.86301
1991,4,30,25.4904,35.80981006,6.21499
1991,5,1,6.56508,51.82420419,6.14885
1991,5,2,0.119386,51.43186937,3.67297
1991,5,3,0.691658,45.98541239,3.20363
1991,5,4,1.77338,39.8182361,1.07264
1991,5,5,2.50032,31.48617581,1.85049
1991,5,6,1.11885,25.06933191,2.58924
1991,5,7,0.489627,20.29418321,4.28414
1991,5,8,0.281663,15.95805422,6.34257
1991,5,9,1.80E-05,12.13318726,8.34741
1991,5,10,25.5767,21.79093942,6.77528
1991,5,11,10.0635,43.11696094,6.26851
1991,5,12,2.27045,51.74821346,5.63353
1991,5,13,0.0130747,45.59250962,6.65713
1991,5,14,2.78339,35.45677687,7.54613
1991,5,15,8.93728,29.23223838,6.01959
1991,5,16,4.82696,29.4540768,2.65885
1991,5,17,1.54943,30.12470355,2.41422
1991,5,18,0.242008,25.85388797,4.57136
1991,5,19,0.0226263,20.45650123,5.56755
1991,5,20,0.0130747,15.61217711,8.01079
1991,5,21,0.0130927,11.32029086,11.4867
1991,5,22,6.01E-06,7.923289212,13.9549
1991,5,23,0,5.646713583,11.2164
1991,5,24,0.0130747,4.539520632,7.06734
1991,5,25,0,4.175526151,8.59256
1991,5,26,0,4.034426464,10.4246
1991,5,27,0,3.952222436,11.4625
1991,5,28,0,3.875379788,12.4024
1991,5,29,0.00677928,3.784315854,13.6746
1991,5,30,0,3.706098784,12.6895
1991,5,31,0,3.667024326,13.1783
1991,6,1,0.00137795,3.627256978,13.4674
1991,6,2,12.5883,3.856739908,13.5228
1991,6,3,0.945923,5.890361005,11.6508
1991,6,4,0.0557852,9.79957882,9.02628
1991,6,5,10.1542,9.592143425,9.37731
1991,6,6,10.6359,10.25093425,10.0305
1991,6,7,19.6855,17.0695181,9.10432
1991,6,8,1.84153,28.06329869,10.0882
1991,6,9,13.1984,32.05048368,12.1328
1991,6,10,1.46403,31.82796373,11.9759
1991,6,11,0.0288822,29.5780019,11.9368
1991,6,12,1.49528,22.96998848,14.1367
1991,6,13,0.0190361,17.59634176,14.3827
1991,6,14,4.30E-05,13.40833222,13.6274
1991,6,15,33.0553,26.12366076,16.7853
1991,6,16,24.1468,55.91668576,11.2321
1991,6,17,15.7594,68.62906099,7.86664
1991,6,18,5.04487,73.90865641,7.06936
1991,6,19,0.338155,69.31877061,7.67214
1991,6,20,3.76459,55.77004295,8.95718
1991,6,21,0.0360444,43.6844493,14.9069
1991,6,22,5.19046,34.23785823,17.0994
1991,6,23,0.314593,27.38926429,17.2321
1991,6,24,0.104465,23.11935742,17.7109
1991,6,25,0.0540981,17.46582852,18.7461
1991,6,26,7.90289,13.27168521,16.1504
1991,6,27,5.71589,12.77882453,11.1934
1991,6,28,10.6221,16.00939624,8.85894
1991,6,29,0.456628,19.30244165,9.21829
1991,6,30,0.0129019,19.09571051,12.2074
1991,7,1,0,14.49537457,15.4025
1991,7,2,0.0942587,10.33305876,17.2669
1991,7,3,0.00227256,7.271200112,18.38
1991,7,4,0.0691536,5.332720778,19.7697
1991,7,5,0,4.371227849,20.9497
1991,7,6,7.79204,4.264000266,20.4646
1991,7,7,14.5578,6.261897766,18.7711
1991,7,8,0.0126748,12.40545899,17.7662
1991,7,9,1.09E-05,15.10080149,18.0963
1991,7,10,0.376969,11.63089872,19.515
1991,7,11,0,8.31398836,21.726
1991,7,12,17.0809,7.522480684,20.4859
1991,7,13,6.92441,14.88589197,18.7943
1991,7,14,6.50489,18.91294654,14.5945
1991,7,15,0.00635011,18.87319055,15.6665
1991,7,16,4.9243,15.99042695,17.3426
1991,7,17,7.04739,13.48148324,15.6191
1991,7,18,0.0367641,13.30962378,16.4124
1991,7,19,1.33526,11.98370473,19.1686
1991,7,20,0.0212149,9.307888099,17.9497
1991,7,21,0.00633739,6.925652409,16.2786
1991,7,22,0,5.362617282,17.367
1991,7,23,0.173091,4.544961523,19.4853
1991,7,24,3.38413,4.308810945,16.2128
1991,7,25,13.4364,5.388629058,12.7477
1991,7,26,8.32142,9.406482954,11.1838
1991,7,27,0.236465,13.73421775,13.6298
1991,7,28,0,12.56743625,15.3046
1991,7,29,0.0126748,9.093444292,18.0414
1991,7,30,29.5265,12.39637191,17.4447
1991,7,31,16.5803,28.33136765,13.8861
1991,8,1,0.740334,35.67293586,13.9358
1991,8,2,0.0777561,31.56443831,15.1776
1991,8,3,0.00666477,23.61267245,16.3412
1991,8,4,0.00666477,17.2647768,17.3858
1991,8,5,0.00666477,12.40943459,17.6993
1991,8,6,0,8.766218421,19.9719
1991,8,7,2.86555,6.441969681,21.7489
1991,8,8,4.14257,5.688093889,16.691
1991,8,9,0.0343499,5.927606688,16.4796
1991,8,10,0.0133295,5.876219232,18.795
1991,8,11,2.26972,4.968181071,19.1742
1991,8,12,1.88339,4.37012604,19.4376
1991,8,13,0,4.532591731,18.1411
1991,8,14,0,4.838440239,17.8514
1991,8,15,0,4.536010746,17.9533
1991,8,16,0.0133295,4.158272051,18.2807
1991,8,17,0,3.92245088,17.2672
1991,8,18,0,3.794050392,15.1079
1991,8,19,0,3.741163567,14.0071
1991,8,20,0,3.693638121,14.8933
1991,8,21,0,3.618726478,17.1905
1991,8,22,6.24848,3.922212344,19.6552
1991,8,23,0.192932,4.539123072,18.5001
1991,8,24,0.137487,4.549698166,19.3354
1991,8,25,0.143741,3.980358318,19.9773
1991,8,26,0,3.664786632,19.5842
1991,8,27,0,3.556934311,18.3013
